zip,city,pop,state,loc
2630,BARNSTABLE,1776,MA,"[-70.300067, 41.698289]"
2631,BREWSTER,8535,MA,"[-70.069868, 41.749179]"
2632,CENTERVILLE,10636,MA,"[-70.353196, 41.660585]"
2633,SOUTH CHATHAM,4744,MA,"[-69.980758, 41.687634]"
2635,COTUIT,3266,MA,"[-70.433431, 41.696025]"
2638,DENNIS,3216,MA,"[-70.191054, 41.732166]"
2639,DENNIS PORT,2510,MA,"[-70.132711, 41.664873]"
2642,EASTHAM,4582,MA,"[-69.984865, 41.840781]"
2644,FORESTDALE,2712,MA,"[-70.514317, 41.682695]"
2645,HARWICH,7363,MA,"[-70.057929, 41.70082]"
2646,HARWICH PORT,1843,MA,"[-70.076755, 41.67128]"
